@relation flink_release-0.8.1
@attribute NumberOfFields real
@attribute NumberOfPublicFields real
@attribute NumberOfPublicMethods_Designite real
@attribute NumberOfChildren real
@attribute DepthOfInheritance real
@attribute LOCClass real
@attribute LCOM real
@attribute FANIN real
@attribute FANOUT real
@attribute TotalNumberOfOperators real
@attribute NumberOfDistinctOperators real
@attribute TotalNumberOfOperands real
@attribute NumberOfDistinctOperands real
@attribute Length real
@attribute Vocabulary real
@attribute Volume real
@attribute Difficulty real
@attribute Effort real
@attribute CBO real
@attribute WMC_CK real
@attribute RFC real
@attribute LOCMethod_CK real
@attribute Returns real
@attribute NumberOfVariables real
@attribute NumberOfParameters_CK real
@attribute NumberOfLoops real
@attribute NumberOfComparisons real
@attribute NumberOfTryCatch real
@attribute NumberOfParenthesizedExps real
@attribute NumberOfStringLiterals real
@attribute NumberOfNumbers real
@attribute NumberOfAssignments real
@attribute NumberOfMathOperations real
@attribute MaxNumberOfNestedBlocks real
@attribute NumberOfAnonymousClasses real
@attribute NumberOfInnerClasses real
@attribute NumberOfLambdas real
@attribute NumberOfUniqueWords real
@attribute NumberOfModifiers real
@attribute NumberOfLogStatements real
@attribute Bugged real
@data
0.0,0.0,0.007,0.0,0.0,0.004,0.0,0.0,0.041,0.003,0.588,0.006,0.015,0.004,0.019,0.002,0.127,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.065,0.0,0.035,0.0,0.0,0.077,0.855,0.004,0.163,0.002,0.529,0.005,0.015,0.003,0.018,0.002,0.086,0.0,0.123,0.077,0.097,0.056,0.111,0.024,0.072,0.055,0.007,0.0,0.0,0.016,0.007,0.025,0.0,0.178,0.0,0.0,0.0,0.139,0.004,0.0,-1.0
0.011,0.0,0.007,0.0,0.0,0.006,0.5,0.0,0.041,0.002,0.529,0.005,0.015,0.003,0.018,0.002,0.086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,0.0,0.007,0.0,0.0,0.007,0.0,0.0,0.02,0.002,0.529,0.005,0.015,0.003,0.018,0.002,0.086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.022,0.0,0.007,0.0,0.0,0.016,0.5,0.0,0.061,0.002,0.529,0.005,0.015,0.003,0.018,0.002,0.086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,0.0,0.007,0.0,0.0,0.005,0.0,0.0,0.041,0.002,0.529,0.005,0.015,0.003,0.018,0.002,0.086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.108,0.0,0.064,0.0,0.0,0.136,0.82,0.004,0.184,0.004,0.588,0.007,0.018,0.005,0.021,0.003,0.129,0.001,0.141,0.127,0.148,0.084,0.09,0.05,0.088,0.1,0.073,0.0,0.0,0.015,0.024,0.047,0.0,0.2,0.0,0.0,0.0,0.154,0.004,0.0,-1.0
0.011,0.0,0.007,0.0,0.0,0.006,0.5,0.0,0.041,0.004,0.588,0.007,0.018,0.005,0.021,0.003,0.129,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,0.0,0.007,0.0,0.0,0.006,0.0,0.0,0.041,0.004,0.588,0.007,0.018,0.005,0.021,0.003,0.129,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.022,0.0,0.007,0.0,0.0,0.027,0.5,0.0,0.061,0.004,0.588,0.007,0.018,0.005,0.021,0.003,0.129,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
