@relation jena_jena-3.13.1
@attribute NumberOfFields real
@attribute NumberOfPublicFields real
@attribute NumberOfPublicMethods_Designite real
@attribute NumberOfChildren real
@attribute DepthOfInheritance real
@attribute LOCClass real
@attribute LCOM real
@attribute FANIN real
@attribute FANOUT real
@attribute TotalNumberOfOperators real
@attribute NumberOfDistinctOperators real
@attribute TotalNumberOfOperands real
@attribute NumberOfDistinctOperands real
@attribute Length real
@attribute Vocabulary real
@attribute Volume real
@attribute Difficulty real
@attribute Effort real
@attribute CBO real
@attribute WMC_CK real
@attribute RFC real
@attribute LOCMethod_CK real
@attribute Returns real
@attribute NumberOfVariables real
@attribute NumberOfParameters_CK real
@attribute NumberOfLoops real
@attribute NumberOfComparisons real
@attribute NumberOfTryCatch real
@attribute NumberOfParenthesizedExps real
@attribute NumberOfStringLiterals real
@attribute NumberOfNumbers real
@attribute NumberOfAssignments real
@attribute NumberOfMathOperations real
@attribute MaxNumberOfNestedBlocks real
@attribute NumberOfAnonymousClasses real
@attribute NumberOfInnerClasses real
@attribute NumberOfLambdas real
@attribute NumberOfUniqueWords real
@attribute NumberOfModifiers real
@attribute NumberOfLogStatements real
@attribute Bugged real
@data
0.004,0.005,0.008,0.0,0.0,0.006,0.5,0.001,0.109,0.013,0.35,0.013,0.052,0.013,0.062,0.009,0.074,0.001,0.438,0.038,0.268,0.026,0.044,0.021,0.083,0.1,0.0,0.042,0.0,0.008,0.0,0.021,0.04,0.136,0.0,0.0,0.0,0.055,0.0,0.0,-1.0
0.004,0.005,0.008,0.0,0.0,0.006,0.5,0.001,0.152,0.014,0.35,0.014,0.055,0.015,0.065,0.01,0.079,0.001,0.521,0.038,0.28,0.026,0.044,0.022,0.083,0.1,0.0,0.042,0.0,0.008,0.0,0.022,0.04,0.136,0.0,0.0,0.0,0.061,0.0,0.0,-1.0
0.004,0.005,0.008,0.0,0.0,0.004,0.5,0.002,0.043,0.009,0.383,0.008,0.042,0.009,0.053,0.006,0.064,0.001,0.312,0.038,0.183,0.019,0.044,0.016,0.083,0.1,0.0,0.042,0.0,0.006,0.0,0.016,0.08,0.136,0.0,0.0,0.0,0.045,0.0,0.0,-1.0
0.004,0.005,0.008,0.0,0.0,0.003,0.5,0.001,0.109,0.008,0.333,0.008,0.037,0.008,0.046,0.005,0.062,0.001,0.292,0.019,0.159,0.014,0.044,0.012,0.083,0.0,0.0,0.042,0.0,0.004,0.0,0.012,0.04,0.045,0.0,0.0,0.0,0.035,0.0,0.0,-1.0
0.0,0.0,0.004,0.0,0.0,0.002,0.0,0.0,0.0,0.003,0.217,0.003,0.022,0.003,0.028,0.002,0.026,0.0,0.292,0.038,0.146,0.016,0.0,0.01,0.167,0.0,0.0,0.083,0.083,0.004,0.0,0.01,0.0,0.091,0.0,0.0,0.0,0.046,0.0,0.0,-1.0
0.0,0.0,0.004,0.0,0.0,0.001,0.0,0.0,0.022,0.003,0.2,0.003,0.018,0.003,0.024,0.002,0.027,0.0,0.292,0.019,0.122,0.01,0.0,0.01,0.167,0.0,0.0,0.083,0.0,0.005,0.0,0.01,0.04,0.091,0.0,0.0,0.0,0.059,0.0,0.0,-1.0
0.0,0.0,0.004,0.0,0.0,0.002,0.0,0.0,0.022,0.007,0.25,0.006,0.027,0.007,0.035,0.004,0.048,0.0,0.333,0.019,0.244,0.021,0.0,0.021,0.167,0.0,0.0,0.083,0.0,0.009,0.0,0.021,0.08,0.091,0.0,0.0,0.0,0.07,0.0,0.0,-1.0
0.013,0.0,0.016,0.0,0.0,0.007,0.7,0.0,0.239,0.011,0.383,0.012,0.045,0.012,0.056,0.008,0.092,0.001,0.208,0.034,0.067,0.009,0.044,0.005,0.208,0.05,0.0,0.042,0.0,0.001,0.0,0.005,0.0,0.091,0.0,0.0,0.0,0.033,0.0,0.0,1.0
0.009,0.0,0.008,0.0,0.0,0.004,0.5,0.0,0.109,0.011,0.383,0.012,0.045,0.012,0.056,0.008,0.092,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.004,0.0,0.0,0.016,0.0,0.0,0.152,0.033,0.5,0.032,0.063,0.033,0.078,0.022,0.214,0.008,0.667,0.096,0.585,0.154,0.175,0.096,0.167,0.4,0.111,1.0,0.083,0.032,0.0,0.137,0.12,0.273,0.0,0.0,0.3,0.122,0.0,0.0,-1.0
