@relation nifi_rel-nifi-0.6.1
@attribute NumberOfFields real
@attribute NumberOfPublicFields real
@attribute NumberOfPublicMethods_Designite real
@attribute NumberOfChildren real
@attribute DepthOfInheritance real
@attribute LOCClass real
@attribute LCOM real
@attribute FANIN real
@attribute FANOUT real
@attribute TotalNumberOfOperators real
@attribute NumberOfDistinctOperators real
@attribute TotalNumberOfOperands real
@attribute NumberOfDistinctOperands real
@attribute Length real
@attribute Vocabulary real
@attribute Volume real
@attribute Difficulty real
@attribute Effort real
@attribute CBO real
@attribute WMC_CK real
@attribute RFC real
@attribute LOCMethod_CK real
@attribute Returns real
@attribute NumberOfVariables real
@attribute NumberOfParameters_CK real
@attribute NumberOfLoops real
@attribute NumberOfComparisons real
@attribute NumberOfTryCatch real
@attribute NumberOfParenthesizedExps real
@attribute NumberOfStringLiterals real
@attribute NumberOfNumbers real
@attribute NumberOfAssignments real
@attribute NumberOfMathOperations real
@attribute MaxNumberOfNestedBlocks real
@attribute NumberOfAnonymousClasses real
@attribute NumberOfInnerClasses real
@attribute NumberOfLambdas real
@attribute NumberOfUniqueWords real
@attribute NumberOfModifiers real
@attribute NumberOfLogStatements real
@attribute Bugged real
@data
0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.017,0.008,0.002,0.096,0.003,0.009,0.002,0.011,0.001,0.024,0.0,0.025,0.036,0.0,0.007,0.0,0.0,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.082,0.0,0.0,-1.0
0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.035,0.0,0.001,0.058,0.001,0.005,0.001,0.006,0.0,0.008,0.0,0.01,0.038,0.0,0.007,0.0,0.0,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.116,0.0,0.0,-1.0
0.006,0.0,0.003,0.0,0.0,0.002,0.5,0.0,0.0,0.001,0.135,0.001,0.006,0.001,0.01,0.001,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,0.0,0.0,0.014,0.0,0.003,0.0,0.131,0.008,0.002,0.058,0.004,0.009,0.003,0.01,0.001,0.031,0.0,0.05,0.048,0.0,0.009,0.0,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.291,0.0,0.0,-1.0
0.029,0.0,0.009,0.0,0.333,0.016,0.61,0.0,0.05,0.008,0.25,0.01,0.026,0.009,0.032,0.005,0.085,0.001,0.072,0.048,0.016,0.03,0.061,0.0,0.063,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.122,0.01,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.118,0.008,0.002,0.096,0.003,0.009,0.002,0.011,0.001,0.026,0.0,0.025,0.048,0.0,0.009,0.0,0.0,0.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.255,0.0,0.0,-1.0
0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.017,0.0,0.001,0.038,0.002,0.006,0.001,0.007,0.001,0.011,0.0,0.038,0.036,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.107,0.0,0.0,-1.0
0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.045,0.008,0.001,0.077,0.003,0.011,0.002,0.013,0.001,0.017,0.0,0.012,0.042,0.0,0.008,0.0,0.0,0.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.169,0.0,0.0,1.0
0.0,0.0,0.036,0.014,0.0,0.015,0.0,0.024,0.0,0.004,0.077,0.003,0.01,0.003,0.011,0.002,0.021,0.0,0.0,0.044,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.001,0.0,-1.0
0.006,0.006,0.0,0.0,0.0,0.012,0.0,0.0,0.017,0.003,0.154,0.004,0.017,0.004,0.021,0.002,0.033,0.0,0.005,0.043,0.0,0.008,0.0,0.0,0.057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159,0.0,0.0,-1.0
0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.003,0.0,0.001,0.038,0.001,0.004,0.001,0.004,0.0,0.007,0.0,0.0,0.038,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,-1.0
0.0,0.0,0.0,0.014,0.0,0.002,0.0,0.028,0.0,0.001,0.077,0.001,0.004,0.001,0.006,0.0,0.01,0.0,0.0,0.048,0.0,0.009,0.0,0.0,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.0,0.0,-1.0
0.0,0.0,0.0,0.014,0.0,0.002,0.0,0.007,0.0,0.001,0.058,0.001,0.003,0.001,0.004,0.0,0.011,0.0,0.016,0.048,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.0,-1.0
0.0,0.0,0.0,0.014,0.0,0.002,0.0,0.0,0.008,0.002,0.096,0.002,0.011,0.002,0.013,0.001,0.018,0.0,0.034,0.048,0.0,0.009,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035,0.0,0.0,-1.0
0.047,0.0,0.064,0.014,0.333,0.06,0.5,0.0,0.066,0.047,0.538,0.045,0.073,0.046,0.087,0.032,0.279,0.011,0.122,0.108,0.076,0.082,0.091,0.043,0.111,0.042,0.072,0.14,0.016,0.001,0.002,0.037,0.009,0.18,0.0,0.0,0.0,0.091,0.044,0.0,1.0
0.157,0.036,0.164,0.0,0.0,0.129,0.555,0.003,0.083,0.106,0.635,0.095,0.162,0.102,0.176,0.079,0.319,0.03,0.052,0.09,0.051,0.063,0.055,0.008,0.07,0.022,0.021,0.054,0.0,0.008,0.003,0.005,0.024,0.103,0.0,0.0,0.0,0.085,0.046,0.0,-1.0
0.0,0.0,0.027,0.028,0.0,0.007,0.0,0.017,0.008,0.004,0.115,0.004,0.015,0.004,0.017,0.002,0.031,0.0,0.014,0.039,0.0,0.007,0.0,0.0,0.051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048,0.001,0.0,-1.0
0.047,0.0,0.027,0.0,0.0,0.017,0.7,0.003,0.008,0.011,0.327,0.011,0.023,0.011,0.032,0.006,0.121,0.001,0.041,0.054,0.005,0.031,0.057,0.0,0.08,0.0,0.015,0.0,0.0,0.0,0.0,0.016,0.0,0.009,0.0,0.0,0.0,0.047,0.012,0.0,-1.0
0.0,0.0,0.0,0.014,0.0,0.0,0.0,0.028,0.0,0.0,0.058,0.0,0.0,0.0,0.001,0.0,0.006,0.0,0.0,0.048,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,-1.0
0.0,0.0,0.0,0.0,0.0,0.028,0.0,0.076,0.05,0.007,0.135,0.008,0.028,0.007,0.03,0.004,0.039,0.0,0.042,0.043,0.0,0.008,0.0,0.0,0.137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,-1.0
0.012,0.0,0.088,0.014,0.667,0.025,0.93,0.128,0.033,0.019,0.462,0.023,0.065,0.021,0.076,0.014,0.139,0.002,0.028,0.051,0.004,0.015,0.013,0.001,0.081,0.0,0.008,0.0,0.0,0.001,0.0,0.002,0.003,0.016,0.0,0.0,0.0,0.098,0.75,0.006,-1.0
0.0,0.0,0.0,0.0,0.333,0.011,0.0,0.08,0.0,0.006,0.135,0.006,0.026,0.006,0.029,0.003,0.03,0.0,0.016,0.043,0.0,0.008,0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.0,0.0,-1.0
0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.01,0.0,0.001,0.096,0.001,0.006,0.001,0.008,0.001,0.018,0.0,0.0,0.048,0.0,0.009,0.0,0.0,0.047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.0,0.0,-1.0
0.128,0.03,0.161,0.0,0.0,0.105,0.675,0.0,0.083,0.082,0.596,0.077,0.139,0.08,0.152,0.061,0.282,0.021,0.052,0.079,0.042,0.055,0.056,0.007,0.08,0.025,0.011,0.048,0.002,0.005,0.006,0.011,0.009,0.073,0.0,0.0,0.0,0.068,0.001,0.0,-1.0
0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.038,0.0,0.002,0.096,0.003,0.007,0.002,0.009,0.001,0.036,0.0,0.1,0.048,0.0,0.009,0.0,0.0,0.357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045,0.0,0.0,1.0
0.233,0.012,0.225,0.0,0.0,0.314,0.61,0.01,0.207,0.288,0.769,0.276,0.339,0.283,0.352,0.244,0.536,0.156,0.142,0.139,0.116,0.142,0.094,0.068,0.111,0.1,0.079,0.066,0.007,0.02,0.04,0.064,0.038,0.147,0.016,0.0,0.0,0.155,0.001,0.056,-1.0
0.012,0.0,0.003,0.0,0.0,0.016,0.5,0.003,0.017,0.288,0.769,0.276,0.339,0.283,0.352,0.244,0.536,0.156,0.05,0.095,0.02,0.045,0.0,0.0,0.143,0.0,0.118,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.027,0.002,0.0,-1.0
0.041,0.0,0.021,0.0,0.0,0.01,0.5,0.003,0.0,0.288,0.769,0.276,0.339,0.283,0.352,0.244,0.536,0.156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.017,0.0,0.015,0.0,0.0,0.006,0.5,0.003,0.0,0.288,0.769,0.276,0.339,0.283,0.352,0.244,0.536,0.156,0.0,0.048,0.0,0.031,0.068,0.0,0.107,0.0,0.0,0.0,0.0,0.003,0.0,0.019,0.018,0.0,0.0,0.0,0.0,0.045,0.001,0.0,-1.0
