,Project,Version,Bugged,NumberOfFields,NumberOfPublicFields,NumberOfPublicMethods_Designite,NumberOfChildren,DepthOfInheritance,LOCClass,LCOM,FANIN,FANOUT,TotalNumberOfOperators,NumberOfDistinctOperators,TotalNumberOfOperands,NumberOfDistinctOperands,Length,Vocabulary,Volume,Difficulty,Effort,CBO,WMC_CK,RFC,LOCMethod_CK,Returns,NumberOfVariables,NumberOfParameters_CK,NumberOfLoops,NumberOfComparisons,NumberOfTryCatch,NumberOfParenthesizedExps,NumberOfStringLiterals,NumberOfNumbers,NumberOfAssignments,NumberOfMathOperations,MaxNumberOfNestedBlocks,NumberOfAnonymousClasses,NumberOfInnerClasses,NumberOfLambdas,NumberOfUniqueWords,NumberOfModifiers,NumberOfLogStatements,index
394724,commons-lang,LANG_3_0_RC3,False,2.0,0.0,5.0,0.0,0.0,285.0,0.42,2.0,5.0,1149.0,46.0,550.0,125.0,1699.0,171.0,12602.93,101.2,1275416.66,2.5,5.8,6.6,17.9,4.1,1.0,2.0,0.4,1.0,0.3,0.0,0.3,0.5,1.3,0.1,1.7,0.0,0.0,0.0,29.7,9.0,0.0,136
394725,commons-lang,LANG_3_0_RC3,False,20.0,20.0,200.0,0.0,0.0,3106.0,0.52,26.0,2.0,8815.0,47.0,4113.0,178.0,12928.0,225.0,101016.56,543.01,54852845.1,1.35,3.23,0.96,8.55,1.97,0.83,1.97,0.32,1.37,0.0,0.17,0.09,1.37,1.3,0.32,0.78,0.0,0.0,0.0,41.86,9.01,0.0,136
394726,commons-lang,LANG_3_0_RC3,False,2.0,0.0,18.0,0.0,0.0,170.0,0.0,1.0,0.0,276.0,24.0,136.0,38.0,412.0,62.0,2453.13,42.95,105355.43,0.59,1.47,0.76,3.53,0.94,0.12,1.29,0.06,0.24,0.0,0.35,0.0,0.35,0.29,0.06,0.12,0.0,0.0,0.0,21.53,1.0,0.0,136
394727,commons-lang,LANG_3_0_RC3,False,0.0,0.0,36.0,0.0,0.0,540.0,-1.0,2.0,3.0,1471.0,39.0,682.0,112.0,2153.0,151.0,15584.29,118.74,1850494.75,0.23,5.8,0.72,11.29,2.59,0.76,2.1,0.02,3.76,0.02,1.12,0.62,1.25,0.78,0.0,0.81,0.0,0.0,0.0,25.58,8.93,0.0,136
394728,commons-lang,LANG_3_0_RC3,False,6.0,6.0,1.0,0.0,0.0,48.0,0.0,1.0,0.0,90.0,18.0,58.0,35.0,148.0,53.0,847.73,14.91,12643.32,0.0,3.0,1.0,11.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,45.0,9.0,0.0,136
394729,commons-lang,LANG_3_0_RC3,False,8.0,0.0,16.0,0.0,0.0,275.0,0.26,5.0,1.0,582.0,37.0,280.0,74.0,862.0,111.0,5856.79,70.0,409975.05,0.63,2.94,0.31,7.06,1.44,0.19,0.75,0.0,1.13,0.0,0.25,0.13,0.63,0.63,0.25,0.69,0.0,0.0,0.0,18.38,3.06,0.0,136
394730,commons-lang,LANG_3_0_RC3,False,3.0,0.0,3.0,0.0,0.0,89.0,0.4,0.0,1.0,582.0,37.0,280.0,74.0,862.0,111.0,5856.79,70.0,409975.05,0.0,2.67,0.0,10.0,0.33,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.33,2.0,1.33,1.0,0.0,0.0,0.0,9.67,1.33,0.0,136
394731,commons-lang,LANG_3_0_RC3,False,0.0,0.0,2.0,0.0,0.0,131.0,-1.0,2.0,0.0,340.0,27.0,174.0,33.0,514.0,60.0,3036.14,71.18,216118.09,0.09,3.09,2.45,10.0,2.09,1.0,3.0,0.45,0.45,0.0,0.64,0.0,1.55,1.45,0.18,1.36,0.0,0.0,0.0,28.55,8.09,0.0,136
394732,commons-lang,LANG_3_0_RC3,False,8.0,5.0,5.0,0.0,0.0,167.0,0.25,4.0,2.0,505.0,39.0,279.0,80.0,784.0,119.0,5405.54,68.01,367610.31,0.57,2.86,2.0,8.86,1.29,0.57,0.43,0.29,1.0,0.0,0.14,0.86,2.14,1.14,1.14,0.71,0.0,0.0,0.0,15.29,2.29,0.0,136
394733,commons-lang,LANG_3_0_RC3,False,0.0,0.0,5.0,0.0,0.0,127.0,-1.0,2.0,3.0,355.0,32.0,171.0,41.0,526.0,73.0,3255.85,66.73,217268.28,1.5,3.33,3.0,8.83,1.67,1.17,1.67,0.5,0.67,0.0,0.0,0.17,0.67,1.17,0.0,1.5,0.0,0.0,0.0,28.83,8.0,0.0,136
394734,commons-lang,LANG_3_0_RC3,False,5.0,2.0,23.0,0.0,0.0,268.0,0.7,7.0,2.0,840.0,35.0,408.0,196.0,1248.0,231.0,9798.98,36.43,356962.94,0.65,2.29,1.23,5.65,1.54,0.0,1.27,0.0,0.56,0.0,0.1,0.54,0.6,0.0,0.38,0.81,0.0,0.0,0.0,27.62,8.69,0.0,136
394735,commons-lang,LANG_3_0_RC3,False,8.0,4.0,34.0,0.0,0.0,725.0,0.45,11.0,4.0,2366.0,46.0,1256.0,184.0,3622.0,230.0,28416.36,157.0,4461369.3,0.97,3.69,3.08,11.1,2.38,0.7,1.66,0.27,1.49,0.11,0.04,0.25,1.04,1.28,0.37,1.06,0.0,0.0,0.0,41.37,9.06,0.0,136
394736,commons-lang,LANG_3_0_RC3,False,0.0,0.0,5.0,0.0,0.0,71.0,-1.0,1.0,0.0,173.0,23.0,111.0,37.0,284.0,60.0,1677.56,34.5,57875.71,0.75,2.0,1.0,7.0,1.75,0.0,1.25,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,28.75,7.0,0.0,136
394737,commons-lang,LANG_3_0_RC3,False,4.0,0.0,9.0,0.0,0.0,183.0,0.56,2.0,2.0,741.0,32.0,404.0,84.0,1145.0,116.0,7852.39,76.95,604259.97,0.5,4.6,4.7,12.6,1.6,1.5,1.0,0.2,1.9,0.0,0.0,0.9,3.4,2.1,0.5,1.3,0.0,0.0,0.0,36.0,9.0,0.0,136
394738,commons-lang,LANG_3_0_RC3,False,2.0,0.0,0.0,0.0,0.0,15.0,-1.0,1.0,0.0,741.0,32.0,404.0,84.0,1145.0,116.0,7852.39,76.95,604259.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136
394739,commons-lang,LANG_3_0_RC3,True,2.0,1.0,17.0,0.0,0.0,284.0,0.63,11.0,2.0,676.0,41.0,423.0,110.0,1099.0,151.0,7955.01,78.83,627107.65,0.86,2.91,2.0,7.68,1.41,0.55,1.5,0.23,1.14,0.05,0.36,0.45,0.77,0.77,0.23,1.0,0.0,0.0,0.0,31.14,8.64,0.0,136
394740,commons-lang,LANG_3_0_RC3,True,1.0,0.0,0.0,0.0,0.0,23.0,1.0,1.0,1.0,676.0,41.0,423.0,110.0,1099.0,151.0,7955.01,78.83,627107.65,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,136
394741,commons-lang,LANG_3_0_RC3,False,1.0,0.0,12.0,0.0,0.0,192.0,0.17,2.0,1.0,525.0,36.0,244.0,56.0,769.0,92.0,5016.62,78.43,393446.27,1.13,4.17,1.4,11.19,1.26,0.4,3.38,0.13,1.19,0.0,1.06,0.4,3.47,1.72,0.92,0.79,0.0,0.0,0.0,42.3,7.94,0.0,136
394742,commons-lang,LANG_3_0_RC3,False,8.0,1.0,22.0,0.0,0.0,288.0,0.35,6.0,2.0,744.0,37.0,391.0,82.0,1135.0,119.0,7825.62,88.21,690324.5,1.62,1.86,1.14,5.57,1.43,0.19,1.1,0.0,0.57,0.0,0.1,0.14,0.62,0.52,0.29,0.43,0.0,0.0,0.0,31.9,4.05,0.0,136
394743,commons-lang,LANG_3_0_RC3,False,2.0,1.0,5.0,0.0,0.0,33.0,1.0,2.0,1.0,744.0,37.0,391.0,82.0,1135.0,119.0,7825.62,88.21,690324.5,0.33,1.67,1.0,3.0,0.67,0.0,1.0,0.0,0.67,0.0,1.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.67,1.0,0.0,136
394744,commons-lang,LANG_3_0_RC3,False,1.0,0.0,4.0,0.0,0.0,40.0,1.0,1.0,0.0,47.0,13.0,31.0,16.0,78.0,29.0,378.92,12.59,4772.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136
394745,commons-lang,LANG_3_0_RC3,False,0.0,0.0,6.0,0.0,0.0,111.0,-1.0,7.0,1.0,260.0,26.0,156.0,52.0,416.0,78.0,2614.73,39.0,101974.37,1.56,3.22,1.78,13.56,0.78,1.0,1.22,0.0,1.11,0.89,0.0,0.78,0.22,1.44,0.0,1.56,0.0,0.0,0.0,42.78,9.0,0.0,136
394746,commons-lang,LANG_3_0_RC3,False,20.0,12.0,15.0,0.0,0.0,228.0,0.93,2.0,3.0,891.0,29.0,460.0,99.0,1351.0,128.0,9457.0,67.37,637153.43,0.92,1.15,1.31,3.85,0.92,0.0,1.08,0.0,0.08,0.0,0.0,0.08,0.08,0.0,0.08,0.08,0.0,0.0,0.0,40.69,21.31,0.0,136
394747,commons-lang,LANG_3_0_RC3,False,4.0,0.0,1.0,0.0,0.0,20.0,0.0,0.0,2.0,891.0,29.0,460.0,99.0,1351.0,128.0,9457.0,67.37,637153.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136
394748,commons-lang,LANG_3_0_RC3,False,4.0,0.0,1.0,0.0,0.0,23.0,0.0,0.0,2.0,891.0,29.0,460.0,99.0,1351.0,128.0,9457.0,67.37,637153.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136
394749,commons-lang,LANG_3_0_RC3,True,11.0,2.0,154.0,0.0,0.0,3264.0,0.24,23.0,5.0,9342.0,52.0,4789.0,425.0,14131.0,477.0,125735.45,292.97,36837233.73,0.99,4.25,2.67,12.12,2.38,1.46,2.2,0.4,1.68,0.01,0.31,0.1,1.79,2.17,0.69,1.17,0.0,0.0,0.0,46.42,9.04,0.0,136
394750,commons-lang,LANG_3_0_RC3,False,74.0,68.0,7.0,0.0,0.0,512.0,0.71,17.0,1.0,945.0,28.0,627.0,192.0,1572.0,220.0,12232.3,45.72,559245.35,0.31,1.38,1.08,3.92,1.15,0.0,0.92,0.0,0.31,0.08,0.0,0.15,0.0,0.0,0.08,0.23,0.0,0.0,0.0,28.69,8.54,0.0,136
394751,commons-lang,LANG_3_0_RC3,False,18.0,0.0,39.0,0.0,0.0,621.0,0.92,8.0,3.0,1396.0,33.0,904.0,133.0,2300.0,166.0,16962.59,112.15,1902360.92,1.4,2.04,1.8,5.57,0.76,0.12,2.44,0.05,0.66,0.0,0.0,0.0,0.45,0.12,0.0,0.67,0.0,0.0,0.0,48.02,9.0,0.0,136
394752,commons-lang,LANG_3_0_RC3,False,8.0,4.0,12.0,0.0,0.0,145.0,0.5,0.0,1.0,1982.0,32.0,1071.0,143.0,3053.0,175.0,22748.55,119.83,2726007.76,2.58,1.67,4.67,7.92,0.33,0.75,0.25,0.17,0.33,0.0,0.0,1.33,0.75,1.08,0.0,0.17,0.08,0.0,0.0,9.17,1.0,0.0,136
394753,commons-lang,LANG_3_0_RC3,False,0.0,0.0,13.0,0.0,0.0,490.0,-1.0,0.0,1.0,5270.0,27.0,2404.0,135.0,7674.0,162.0,56326.01,240.4,13540772.54,2.85,3.08,8.92,37.23,0.0,3.23,0.0,0.0,0.0,2.08,1.62,7.46,37.0,10.0,0.0,0.23,0.0,0.0,0.0,14.0,1.0,0.0,136
394754,commons-lang,LANG_3_0_RC3,False,0.0,0.0,19.0,0.0,0.0,470.0,-1.0,0.0,1.0,3767.0,27.0,1733.0,83.0,5500.0,110.0,37297.48,281.87,10513170.56,1.84,2.42,7.0,24.42,0.0,1.05,0.0,0.0,0.0,1.42,0.0,3.16,13.32,4.47,0.0,0.47,0.0,0.0,0.0,12.47,1.0,0.0,136
394755,commons-lang,LANG_3_0_RC3,False,0.0,0.0,152.0,0.0,0.0,1903.0,-1.0,0.0,2.0,17710.0,36.0,9228.0,461.0,26938.0,497.0,241286.41,360.31,86938478.62,1.92,1.32,3.3,12.25,0.02,2.16,0.05,0.0,0.22,0.1,0.0,2.07,11.29,2.69,0.0,0.08,0.01,0.0,0.0,11.22,1.07,0.0,136
394756,commons-lang,LANG_3_0_RC3,False,3.0,0.0,16.0,0.0,0.0,202.0,0.19,0.0,1.0,1396.0,25.0,660.0,79.0,2056.0,104.0,13776.1,104.43,1438643.78,1.0,1.6,2.47,9.6,0.0,0.67,0.0,0.6,0.0,0.0,0.2,0.0,14.4,0.87,0.27,0.27,0.0,0.0,0.0,9.8,1.0,0.0,136
394757,commons-lang,LANG_3_0_RC3,False,0.0,0.0,44.0,0.0,0.0,406.0,-1.0,0.0,1.0,3277.0,26.0,1453.0,170.0,4730.0,196.0,36017.58,111.11,4001976.6,1.09,1.4,2.42,9.23,0.0,0.3,0.0,0.0,0.0,0.4,0.0,4.0,1.79,0.3,0.0,0.26,0.0,0.0,0.0,10.14,1.0,0.0,136
394758,commons-lang,LANG_3_0_RC3,False,0.0,0.0,6.0,0.0,0.0,65.0,-1.0,0.0,2.0,312.0,21.0,184.0,69.0,496.0,90.0,3219.96,28.0,90158.86,1.25,1.38,2.0,6.88,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.5,0.38,0.0,0.0,0.0,10.38,1.0,0.38,136
394759,commons-lang,LANG_3_0_RC3,False,0.0,0.0,17.0,0.0,0.0,302.0,-1.0,0.0,2.0,2273.0,26.0,1133.0,119.0,3406.0,145.0,24454.77,123.77,3026842.96,1.0,2.06,5.63,18.25,0.0,3.44,0.06,0.06,0.81,0.25,0.06,0.81,0.5,3.75,0.06,0.13,0.0,0.0,0.0,13.25,1.0,0.0,136
394760,commons-lang,LANG_3_0_RC3,False,0.0,0.0,2.0,0.0,0.0,36.0,-1.0,0.0,2.0,246.0,23.0,144.0,44.0,390.0,67.0,2365.77,37.64,89039.16,1.0,2.0,5.5,15.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,4.5,6.0,0.5,1.0,0.5,0.0,0.0,0.0,9.5,1.0,0.0,136
394761,commons-lang,LANG_3_0_RC3,False,0.0,0.0,15.0,0.0,0.0,351.0,-1.0,0.0,4.0,3027.0,22.0,1507.0,101.0,4534.0,123.0,31477.36,164.13,5166338.71,2.07,1.0,4.71,24.43,0.0,2.29,0.0,0.0,0.0,0.0,0.0,5.64,3.21,7.5,0.0,0.0,0.0,0.0,0.0,10.5,1.0,0.0,136
394762,commons-lang,LANG_3_0_RC3,False,0.0,0.0,10.0,0.0,0.0,144.0,-1.0,0.0,1.0,1860.0,23.0,728.0,74.0,2588.0,97.0,17080.57,113.14,1932413.1,1.0,1.0,2.56,15.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,24.11,4.44,0.11,0.0,0.0,0.0,0.0,0.0,7.78,1.0,0.0,136
394763,commons-lang,LANG_3_0_RC3,True,4.0,0.0,1.0,0.0,0.0,81.0,0.0,0.0,2.0,480.0,30.0,261.0,75.0,741.0,105.0,4975.26,52.2,259708.36,0.57,2.43,2.29,9.71,0.43,2.57,0.71,1.0,0.0,0.0,0.14,3.43,2.14,3.71,0.86,1.0,0.0,0.0,0.0,12.29,2.86,0.0,136
394764,commons-lang,LANG_3_0_RC3,False,3.0,0.0,24.0,0.0,0.0,291.0,0.54,0.0,1.0,2029.0,36.0,864.0,118.0,2893.0,154.0,21022.81,131.8,2770735.55,0.96,2.74,2.52,11.91,0.0,1.0,0.04,0.57,0.13,0.26,0.22,0.78,2.96,1.0,0.0,1.0,0.0,0.0,0.0,13.13,1.0,0.0,136
394765,commons-lang,LANG_3_0_RC3,True,0.0,0.0,50.0,0.0,0.0,781.0,-1.0,0.0,12.0,9014.0,40.0,3899.0,251.0,12913.0,291.0,105691.3,310.68,32835885.29,2.54,1.13,3.0,14.21,0.0,0.88,0.1,0.06,0.0,0.08,0.0,8.58,0.83,0.92,0.08,0.13,0.02,0.0,0.0,11.58,1.08,0.0,136
394766,commons-lang,LANG_3_0_RC3,True,0.0,0.0,0.0,0.0,0.0,4.0,-1.0,1.0,0.0,9014.0,40.0,3899.0,251.0,12913.0,291.0,105691.3,310.68,32835885.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136
394767,commons-lang,LANG_3_0_RC3,True,0.0,0.0,0.0,0.0,0.0,2.0,-1.0,0.0,0.0,9014.0,40.0,3899.0,251.0,12913.0,291.0,105691.3,310.68,32835885.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136
394768,commons-lang,LANG_3_0_RC3,True,0.0,0.0,0.0,1.0,0.0,2.0,-1.0,1.0,0.0,9014.0,40.0,3899.0,251.0,12913.0,291.0,105691.3,310.68,32835885.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136
394769,commons-lang,LANG_3_0_RC3,True,0.0,0.0,0.0,2.0,0.0,2.0,-1.0,1.0,0.0,9014.0,40.0,3899.0,251.0,12913.0,291.0,105691.3,310.68,32835885.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136
394770,commons-lang,LANG_3_0_RC3,True,0.0,0.0,0.0,1.0,2.0,2.0,-1.0,1.0,0.0,9014.0,40.0,3899.0,251.0,12913.0,291.0,105691.3,310.68,32835885.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136
394771,commons-lang,LANG_3_0_RC3,True,0.0,0.0,0.0,1.0,0.0,2.0,-1.0,1.0,0.0,9014.0,40.0,3899.0,251.0,12913.0,291.0,105691.3,310.68,32835885.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136
394772,commons-lang,LANG_3_0_RC3,True,0.0,0.0,0.0,2.0,1.0,2.0,-1.0,1.0,0.0,9014.0,40.0,3899.0,251.0,12913.0,291.0,105691.3,310.68,32835885.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136
394773,commons-lang,LANG_3_0_RC3,True,0.0,0.0,0.0,1.0,0.0,2.0,-1.0,1.0,0.0,9014.0,40.0,3899.0,251.0,12913.0,291.0,105691.3,310.68,32835885.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136
394774,commons-lang,LANG_3_0_RC3,True,0.0,0.0,0.0,1.0,2.0,2.0,-1.0,1.0,0.0,9014.0,40.0,3899.0,251.0,12913.0,291.0,105691.3,310.68,32835885.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136
394775,commons-lang,LANG_3_0_RC3,True,0.0,0.0,0.0,0.0,3.0,2.0,-1.0,1.0,0.0,9014.0,40.0,3899.0,251.0,12913.0,291.0,105691.3,310.68,32835885.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136
394776,commons-lang,LANG_3_0_RC3,False,0.0,0.0,7.0,0.0,0.0,57.0,-1.0,0.0,1.0,383.0,21.0,193.0,50.0,576.0,71.0,3542.25,40.53,143567.57,1.86,1.29,2.71,7.43,0.0,0.29,0.0,0.0,0.0,0.29,0.0,2.71,0.71,0.29,0.0,0.29,0.0,0.0,0.0,8.0,1.0,0.0,136
394777,commons-lang,LANG_3_0_RC3,False,0.0,0.0,3.0,0.0,0.0,29.0,-1.0,0.0,0.0,317.0,12.0,242.0,50.0,559.0,62.0,3328.4,29.04,96656.61,1.0,1.0,3.0,7.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,136
394778,commons-lang,LANG_3_0_RC3,True,7.0,0.0,14.0,0.0,0.0,364.0,0.33,1.0,3.0,1670.0,38.0,906.0,188.0,2576.0,226.0,20144.78,91.56,1844533.3,1.31,2.69,5.69,12.08,0.0,1.27,1.23,0.15,0.88,0.62,0.0,3.62,0.77,1.35,0.08,0.38,0.0,0.0,0.0,19.85,1.81,0.0,136
394779,commons-lang,LANG_3_0_RC3,False,4.0,0.0,26.0,0.0,0.0,254.0,0.86,0.0,4.0,1573.0,32.0,927.0,162.0,2500.0,194.0,18999.78,91.56,1739535.61,1.42,1.17,4.13,8.13,0.0,1.42,0.0,0.0,0.0,0.17,0.0,2.58,0.88,1.42,0.25,0.13,0.0,0.0,0.0,12.04,1.0,0.0,136
394780,commons-lang,LANG_3_0_RC3,False,1.0,0.0,1.0,0.0,0.0,12.0,1.0,1.0,0.0,1573.0,32.0,927.0,162.0,2500.0,194.0,18999.78,91.56,1739535.61,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,136
394781,commons-lang,LANG_3_0_RC3,False,1.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,1573.0,32.0,927.0,162.0,2500.0,194.0,18999.78,91.56,1739535.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136
394782,commons-lang,LANG_3_0_RC3,False,0.0,0.0,10.0,0.0,0.0,284.0,-1.0,0.0,1.0,1697.0,44.0,854.0,143.0,2551.0,187.0,19252.13,131.38,2529433.4,2.3,5.2,5.3,23.9,0.1,5.2,0.3,2.2,0.0,0.7,0.3,5.0,10.3,7.9,0.8,1.9,0.0,0.0,0.0,26.1,1.1,0.0,136
394783,commons-lang,LANG_3_0_RC3,False,7.0,0.0,20.0,0.0,0.0,176.0,0.4,0.0,2.0,1117.0,30.0,673.0,123.0,1790.0,153.0,12990.72,82.07,1066189.93,0.89,1.16,3.58,8.89,0.11,0.37,0.16,0.0,0.11,0.05,0.0,1.11,6.21,0.84,0.0,0.05,0.16,0.0,0.0,8.0,1.0,0.0,136
394784,commons-lang,LANG_3_0_RC3,False,5.0,0.0,25.0,0.0,0.0,285.0,0.58,1.0,2.0,1360.0,32.0,798.0,132.0,2158.0,164.0,15877.6,96.73,1535796.68,1.24,1.96,4.12,10.76,0.36,2.0,0.08,0.16,0.36,0.44,0.0,0.8,0.32,2.12,0.08,0.6,0.04,0.0,0.0,14.28,1.0,0.0,136
394785,commons-lang,LANG_3_0_RC3,False,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,0.0,1.0,1360.0,32.0,798.0,132.0,2158.0,164.0,15877.6,96.73,1535796.68,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,136
394786,commons-lang,LANG_3_0_RC3,False,2.0,0.0,20.0,0.0,0.0,307.0,0.73,0.0,1.0,2425.0,36.0,1210.0,270.0,3635.0,306.0,30015.6,80.67,2421258.79,1.45,1.97,3.48,10.86,0.0,1.45,0.83,0.1,0.21,0.45,0.38,7.0,0.52,1.55,0.59,0.38,0.0,0.0,0.0,13.17,1.34,0.0,136
394787,commons-lang,LANG_3_0_RC3,True,8.0,0.0,48.0,0.0,0.0,723.0,0.69,0.0,1.0,7083.0,30.0,3295.0,176.0,10378.0,206.0,79770.5,280.82,22401460.71,1.15,1.06,2.66,14.0,0.0,0.7,0.0,0.06,0.0,0.02,0.0,11.81,10.85,0.7,0.55,0.06,0.0,0.0,0.0,12.45,1.0,0.0,136
394788,commons-lang,LANG_3_0_RC3,False,0.0,0.0,9.0,0.0,0.0,131.0,-1.0,0.0,2.0,1147.0,19.0,470.0,78.0,1617.0,97.0,10672.06,57.24,610906.97,1.0,1.0,2.0,15.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.13,1.0,0.0,136
394789,commons-lang,LANG_3_0_RC3,True,6.0,0.0,7.0,0.0,0.0,116.0,0.57,0.0,1.0,1306.0,18.0,702.0,50.0,2008.0,68.0,12223.63,126.36,1544577.3,1.33,1.0,3.5,14.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.33,1.0,0.0,136
394790,commons-lang,LANG_3_0_RC3,False,5.0,0.0,14.0,0.0,0.0,234.0,0.71,0.0,1.0,2380.0,22.0,1067.0,105.0,3447.0,127.0,24090.0,111.78,2692802.71,0.92,1.0,2.15,15.54,0.0,0.08,0.08,0.0,0.0,0.0,0.0,22.85,7.92,1.08,0.0,0.0,0.0,0.0,0.0,8.15,1.0,0.0,136
394791,commons-lang,LANG_3_0_RC3,True,18.0,0.0,82.0,0.0,0.0,1437.0,0.82,3.0,4.0,15317.0,47.0,7131.0,578.0,22448.0,625.0,208490.57,289.93,60447295.1,1.11,1.57,3.17,16.32,0.0,1.52,0.11,0.37,0.08,0.07,0.04,22.24,6.95,2.39,0.52,0.24,0.0,0.0,0.0,12.45,1.04,0.0,136
394792,commons-lang,LANG_3_0_RC3,False,1.0,0.0,16.0,0.0,0.0,198.0,0.76,0.0,2.0,1848.0,31.0,852.0,124.0,2700.0,155.0,19645.54,106.5,2092249.57,1.0,1.19,2.13,11.5,0.06,0.5,0.19,0.06,0.06,0.0,0.0,12.94,0.13,0.5,1.81,0.13,0.0,0.0,0.0,9.19,1.06,0.0,136
394793,commons-lang,LANG_3_0_RC3,True,0.0,0.0,12.0,0.0,0.0,333.0,-1.0,0.0,1.0,2507.0,28.0,1279.0,123.0,3786.0,151.0,27404.6,145.58,3989485.97,0.73,2.45,3.64,27.91,0.0,1.27,0.09,0.0,0.27,0.0,0.0,15.64,0.0,3.82,0.18,0.36,0.0,0.0,0.0,10.73,1.0,0.0,136
394794,commons-lang,LANG_3_0_RC3,False,0.0,0.0,53.0,0.0,0.0,725.0,-1.0,0.0,1.0,3470.0,25.0,1871.0,186.0,5341.0,211.0,41238.39,125.74,5185284.22,0.98,2.19,4.6,13.63,0.0,1.29,0.02,0.0,0.0,1.19,0.0,5.15,1.69,1.37,0.0,0.81,0.0,0.0,0.0,15.35,1.0,0.0,136
