,Project,Version,Bugged,NumberOfFields,NumberOfPublicFields,NumberOfPublicMethods_Designite,NumberOfChildren,DepthOfInheritance,LOCClass,LCOM,FANIN,FANOUT,TotalNumberOfOperators,NumberOfDistinctOperators,TotalNumberOfOperands,NumberOfDistinctOperands,Length,Vocabulary,Volume,Difficulty,Effort,CBO,WMC_CK,RFC,LOCMethod_CK,Returns,NumberOfVariables,NumberOfParameters_CK,NumberOfLoops,NumberOfComparisons,NumberOfTryCatch,NumberOfParenthesizedExps,NumberOfStringLiterals,NumberOfNumbers,NumberOfAssignments,NumberOfMathOperations,MaxNumberOfNestedBlocks,NumberOfAnonymousClasses,NumberOfInnerClasses,NumberOfLambdas,NumberOfUniqueWords,NumberOfModifiers,NumberOfLogStatements,index
277322,avro,release-1.8.0,False,44.0,0.0,153.0,0.0,0.0,1714.0,0.32,10.0,25.0,5606.0,44.0,3322.0,303.0,8928.0,347.0,75341.53,241.2,18172477.38,3.01,1.15,1.63,3.66,0.84,0.1,0.82,0.05,0.1,0.01,0.02,0.12,0.0,0.2,0.02,0.17,0.0,0.0,0.0,11.15,27.86,0.0,36
277323,avro,release-1.8.0,False,1.0,0.0,1.0,4.0,0.0,36.0,0.5,2.0,0.0,5606.0,44.0,3322.0,303.0,8928.0,347.0,75341.53,241.2,18172477.38,0.5,1.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,516.0,0.0,36
277324,avro,release-1.8.0,False,4.0,0.0,2.0,2.0,1.0,53.0,0.38,0.0,4.0,5606.0,44.0,3322.0,303.0,8928.0,347.0,75341.53,241.2,18172477.38,2.0,1.0,1.0,4.5,0.5,0.0,1.5,0.0,0.0,0.0,0.0,0.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,8.5,10.5,0.0,36
277325,avro,release-1.8.0,False,2.0,0.0,1.0,3.0,2.0,33.0,0.6,0.0,3.0,5606.0,44.0,3322.0,303.0,8928.0,347.0,75341.53,241.2,18172477.38,3.0,1.0,2.0,4.5,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,16.0,0.0,36
277326,avro,release-1.8.0,False,2.0,0.0,0.0,8.0,1.0,19.0,0.0,0.0,3.0,5606.0,44.0,3322.0,303.0,8928.0,347.0,75341.53,241.2,18172477.38,4.0,1.0,2.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,36
277327,avro,release-1.8.0,False,0.0,0.0,1.0,0.0,2.0,20.0,-1.0,2.0,3.0,5606.0,44.0,3322.0,303.0,8928.0,347.0,75341.53,241.2,18172477.38,2.0,1.0,0.33,3.0,0.67,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.33,0.0,36
277328,avro,release-1.8.0,False,0.0,0.0,1.0,0.0,2.0,20.0,-1.0,2.0,3.0,5606.0,44.0,3322.0,303.0,8928.0,347.0,75341.53,241.2,18172477.38,2.33,1.0,0.33,3.0,1.0,0.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.67,5.0,0.0,36
277329,avro,release-1.8.0,False,0.0,0.0,1.0,0.0,2.0,20.0,-1.0,2.0,3.0,5606.0,44.0,3322.0,303.0,8928.0,347.0,75341.53,241.2,18172477.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36
277330,avro,release-1.8.0,False,0.0,0.0,1.0,0.0,2.0,20.0,-1.0,2.0,3.0,5606.0,44.0,3322.0,303.0,8928.0,347.0,75341.53,241.2,18172477.38,3.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,36
277331,avro,release-1.8.0,False,0.0,0.0,1.0,0.0,2.0,20.0,-1.0,2.0,3.0,5606.0,44.0,3322.0,303.0,8928.0,347.0,75341.53,241.2,18172477.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36
